TEXTO,CARRERA,LABEL
apasionar inteligencia artificial deep learning trabajar pytorch kera,INFORMÁTICA,15
utilizar metodologíos ágil mejorar eficiencia equipo desarrollo software,INFORMÁTICA,15
gustar contribuir creación entorno trabajo saludable estrategia gestión talento,RELACIONES INDUSTRIALES,12
aprender idioma,INFORMÁTICA,15
estudiar integración tecnología interactivo planificación proyecto arquitectónico,ARQUITECTURA,6
fascinado economía comportamiento realacer experimento económico interesar neuroeconomía toma decisión querer entender decisión económico,ECONOMÍA,5
sentir fuerte vocación justicia,DERECHO,11
gustar aprender lenguaje programación,INFORMÁTICA,15
interesar marco control interno,CONTADURÍA,4
disfrutar participar actividad,TEOLOGÍA,8
investigar software bim planificación integral proyecto arquitectónico,ARQUITECTURA,6
aplico técnico simulación modelado matemático resolver desafío producción,INDUSTRIAL,0
explorar influencia corriente tendencia cultural,FILOSOFÍA,13
entender raíz tradición fe estudio texto sagrado,TEOLOGÍA,8
apasionado diseño experimento control estadístico proceso usar minitab r,INDUSTRIAL,0
gustar entender funcionar cadena suministro,INDUSTRIAL,0
medio digital utilizar él influir opinión público,COMUNICACIÓN SOCIAL,3
participo diálogo interreligioso promover paz tolerancia inclusión social,TEOLOGÍA,8
número gustar mantener orden,CONTADURÍA,4
interesado intersección literatura tecnología descubrir narrativa digital emergente,LETRAS,10
gustar analizar dato crear programa interesado aprendizaje automático ciencia dato,INFORMÁTICA,15
fascinar análisis financiero valoración empresa modelo dcf ratio,ADMINISTRACIÓN,7
influencia medio sociedad apasionar,COMUNICACIÓN SOCIAL,3
sueño combinar arte ciencia diseño,ARQUITECTURA,6
análisis crítico desarrollo aplicación ley contexto desigualdad social,DERECHO,11
apasionar transformación digital rrhh trabajo hris,RELACIONES INDUSTRIALES,12
interesar mejorar infraestructura comunicación,TELECOMUNICACIONES,16
querer luchar corrupción,DERECHO,11
preocupar equilibrio productividad bienestar empleado,RELACIONES INDUSTRIALES,12
sentir enseñar llamado,EDUCACIÓN,14
estudiar influencia política fiscal monetario crecimiento económico global,ECONOMÍA,5
elaboración modelo financiero avanzado integrar análisis riesgo proyección económico,CONTADURÍA,4
interesar negociación colectivo derecho laboral,RELACIONES INDUSTRIALES,12
gustar planear futuro,ADMINISTRACIÓN,7
trabajo proyecto evaluar innovación tecnológico impulsar productividad económico,ECONOMÍA,5
encantar debatir ética moral mundo moderno,FILOSOFÍA,13
disfruto trabajar proyecto involucrar logística planificación,INDUSTRIAL,0
fan ley tecnológico protección dato,DERECHO,11
querer asegurar yo recurso utilizar correctamente,CONTADURÍA,4
interesado marco control interno,CONTADURÍA,4
capital humano recurso valioso,RELACIONES INDUSTRIALES,12
querer estudiar enseñanza religión,TEOLOGÍA,8
interesar funcionar empresa mejorar,ADMINISTRACIÓN,7
querer defender derecho,DERECHO,11
gustar hablar ética moralidad amigo,FILOSOFÍA,13
ingeniería civil clave desarrollo sociedad,CIVIL,9
gustar analizar texto significado participo taller literario interesar traducción edición querer trabajar mundo editorial,LETRAS,10
interesar psicología forense criminal perfilación psicológico,PSICOLOGÍA,2
exploro fusión arte tecnología crear espacio inspirar sirvan comunidad,ARQUITECTURA,6
estudio algoritmos inteligencia artificial optimizar proceso diverso industria,INFORMÁTICA,15
apasionar contabilidad análisis financiero utilizar técnica avanzado herramienta digital garantizar transparencia óptimo manejo recurso,CONTADURÍA,4
comprometido técnica gestión aprendizaje maximicir óptimo recurso humano material,ADMINISTRACIÓN,7
querer crear diseño integrar eficiencia energético espacio verde tecnología digital transformar paisaje urbano,ARQUITECTURA,6
interesar justicia derechos humanos análisis caso ley defender causa importante,DERECHO,11
fascinar fe impacto participo diálogo interreligioso interesar teología relación sociedad querer promover entendimiento espiritual,TEOLOGÍA,8
gustar organizar entrenamiento,RELACIONES INDUSTRIALES,12
estudiante letra disfruto experimentar género literario técnico narrativo crear ensayo poesía cuento reflejen compromiso cultura,LETRAS,10
interesado diseño red 5 g sistema comunicación inalámbrico software simulación rf,TELECOMUNICACIONES,16
disfrutar asistir conferencia tecnología emergente,TELECOMUNICACIONES,16
interesado construcción sostenible certificación leed trabajo material ecológico,CIVIL,9
desarrollo modelo económico integrar variable macroeconómico pronosticar ciclo económico,ECONOMÍA,5
interesado intersección literatura tecnología,LETRAS,10
estudio red social comunidad línea entender impacto tecnología,SOCIOLOGÍA,1
literatura digital formato narrativo surgir tecnología interesar,LETRAS,10
querer creación tener arte función,ARQUITECTURA,6
interesado diversidad inclusión querer implementar política laboral innovadora,RELACIONES INDUSTRIALES,12
interesar educación bilingüe tecnología facilitar intercambio cultural lingüístico,EDUCACIÓN,14
análisis crítico desarrollo influencia medio comunicación opinión público construcción narrativa,COMUNICACIÓN SOCIAL,3
investigación norma internacional contabilidad garantizar exactitud transparencia informe financiero,CONTADURÍA,4
admirar obra ingeniería civil,CIVIL,9
sentir llamado compartir enseñanza espiritual,TEOLOGÍA,8
disfruto estudiar política económico efecto,ECONOMÍA,5
filosofía importante crecimiento personal social,FILOSOFÍA,13
interesado derecho internacional consecuencia,DERECHO,11
apasionar diseño computacional fabricación digital trabajo impresión 3d,ARQUITECTURA,6
fuerte sentido correcto incorrecto,DERECHO,11
elaboración análisis dato económico detectar patrón proponer estrategia crecimiento sostenible,ECONOMÍA,5
apasionar análisis estructura social explorar patrón cultural dinámico investigación cualitativo cuantitativo,SOCIOLOGÍA,1
investigar impacto globalización digitalización patrón consumo producción,ECONOMÍA,5
investigar aplicación norma ambiental proteger naturaleza,DERECHO,11
gustar solución tecnológico problema cotidiano,INFORMÁTICA,15
interesado garantizar transacción inmutabilidad registro digital,INFORMÁTICA,15
fan diseño arquitectónico,ARQUITECTURA,6
querer optimizar red móvil planificar cobertura herramienta drive test,TELECOMUNICACIONES,16
interesar identificar oportunidad automatizar tarea operativo análisis dato mejora continuo,INDUSTRIAL,0
gustar ayudar pensar críticamente mundo,FILOSOFÍA,13
contabilidad importante éxito empresa,CONTADURÍA,4
estudiar intersección filosofía ciencia iluminar cuestión ético método científico,FILOSOFÍA,13
tecnología tendencia software,INFORMÁTICA,15
gestión empresarial estrategia liderazgo utilizar impulsar crecimiento,ADMINISTRACIÓN,7
interesado ética profesional campo contabilidad,CONTADURÍA,4
querer desarrollar programa alfabetización digital trabajo competencia digital,EDUCACIÓN,14
desarrollo estudio explorar impacto globalización tic cohesión social,SOCIOLOGÍA,1
alegrar idea mejorar productividad,INDUSTRIAL,0
querer identificar oportunidad automatizar tarea operacional análisis dato mejora continuo,INDUSTRIAL,0
gustar idear manera operación eficiente,INDUSTRIAL,0
telecomunicación vital progreso global,TELECOMUNICACIONES,16
estudio organizativo entender sociología trabajo,SOCIOLOGÍA,1
gustar ayudar reformar sistema jurídico,DERECHO,11
apasionar explorar dimensión espiritual ético existencia estudio texto sagrado,TEOLOGÍA,8
fascinar mundo ciberseguridad análisis dato busca tecnología permitir desarrollar software robusto escalable,INFORMÁTICA,15
detallar meticuloso finanza,CONTADURÍA,4
desarrollo proyecto educativo utilizar gamificación recurso digital enriquecer proceso docente,EDUCACIÓN,14
precisión contabilidad fundamental,CONTADURÍA,4
diferencia sistema económico,ECONOMÍA,5
medio digital influir opinión público,COMUNICACIÓN SOCIAL,3
disfruto derecho corporativo fusión trabajo debido diligencia,DERECHO,11
mirar eficiencia energético proceso industrial,INDUSTRIAL,0
plataforma digital transformar difusión mensaje,COMUNICACIÓN SOCIAL,3
mejora condición trabajo preocupar,RELACIONES INDUSTRIALES,12
inspirar crear diseño integrar espacio verde eficiencia energético tecnología digital transformar paisaje urbano,ARQUITECTURA,6
fascina explorar razón creencia,FILOSOFÍA,13
participo comunidad código abierto colaborar proyecto global desarrollo software,INFORMÁTICA,15
interesado investigar relación política económico bienestar social,ECONOMÍA,5
interesado discutir idea concepto abstracto,FILOSOFÍA,13
gustar entender fe afectar cultura,TEOLOGÍA,8
impulsar crear campaña sensibilización,COMUNICACIÓN SOCIAL,3
proyecto evaluar efectividad terapia cognitiva conductual,PSICOLOGÍA,2
interesar mejorar conectividad área remoto,TELECOMUNICACIONES,16
investigar material reciclado construcción infraestructura sostenible,CIVIL,9
método contabilidad digital acelerar proceso minimizar error,CONTADURÍA,4
interesar contabilidad ambiental sostenible,CONTADURÍA,4
querer desarrollar sistema cumplimiento impuesto utilizar software fiscal,CONTADURÍA,4
interesar explorar impacto globalización mercado local integrar análisis estadístico modelo econométrico prever tendencia,ECONOMÍA,5
investigar efecto globalización estabilidad desarrollo mercado emergente,ECONOMÍA,5
merecer educación calidad,EDUCACIÓN,14
interesar influir cultura comportamiento humano,SOCIOLOGÍA,1
apasionar análisis sísmico estructura software especializado etabs,CIVIL,9
querer futuro,INFORMÁTICA,15
información veraz derecho,COMUNICACIÓN SOCIAL,3
interesado diseño espacio público beneficien comunidad,CIVIL,9
gustar gestionar recurso humano talento,RELACIONES INDUSTRIALES,12
querer aplicar pensamiento filosófico problema actual,FILOSOFÍA,13
apasionar análisis estructura social explorar patrón cultural dinámico investigación cualitativo cuantitativo,SOCIOLOGÍA,1
estudiar interacción factor social emocional moldear conducta distinto contexto,PSICOLOGÍA,2
estudiar comportamiento suelo garantizar estabilidad obra,CIVIL,9
querer explorar fe mundo moderno pasión teología tecnología,TEOLOGÍA,8
interesar mediar trabajador empleador,RELACIONES INDUSTRIALES,12
encantar crear programa facilitar vida diario,INFORMÁTICA,15
investigar factor cultural económico influir distribución sociedad,SOCIOLOGÍA,1
gustar asegurarme orden,CONTADURÍA,4
interesar psicología forense criminal perfil psicológico,PSICOLOGÍA,2
fascinado diseño arquitectónico paramétrico grasshopper rhino,ARQUITECTURA,6
estudiar jurisprudencia caso emblemático entender evolución derecho penal civil,DERECHO,11
religión papel desempeñar empoderamiento comunidad transformación social,TEOLOGÍA,8
querer trabajar 5 g internet cosa interesado funcionar red internet,TELECOMUNICACIONES,16
gustar aprender ingeniería,CIVIL,9
desarrollo reflexión espiritualidad contemporáneo relación reto moderno,TEOLOGÍA,8
interesado desarrollar red sensor sistema internet cosa,TELECOMUNICACIONES,16
gustar escuchar ofrecer apoyo,PSICOLOGÍA,2
gustar leer texto clásico contemporáneo entender significado existencia humano,FILOSOFÍA,13
estudiante filosofía participo activamente círculo discusión análisis crítico texto buscar comprender libertad justicia existencia humano,FILOSOFÍA,13
administración eficiente beneficiar involucrado,ADMINISTRACIÓN,7
interesado investigación social cuantitativo análisis estadístico,SOCIOLOGÍA,1
querer investigar problema social solución,SOCIOLOGÍA,1
fascinado educación steam organizar taller educativo robótico interesado programación niño querer promover educación tecnológico,EDUCACIÓN,14
querer contribuir sistema económico justo equitativo,ECONOMÍA,5
apasionar combinar ingeniería diseño urbano crear idea innovadora espacio público,CIVIL,9
implicación ético derecho protección ambiente,DERECHO,11
disfrutar gestión proyecto ágil trabajar scrum kanr,ADMINISTRACIÓN,7
terremoto mirar caso ingeniería estructural diseñar edificio alto rendimiento,CIVIL,9
querer involucrado proyecto usen inteligencia artificial,INFORMÁTICA,15
fascinar teología ciencia diálogo interdisciplinar,TEOLOGÍA,8
participé proyecto transformación digital mejorar proceso,ADMINISTRACIÓN,7
fascinar estudiar funcionar sociedad,SOCIOLOGÍA,1
inspirar idea diseñar lugar persona vivar trabajen,ARQUITECTURA,6
gustar dibujar modelo querer diseñar espacio público inclusivo,ARQUITECTURA,6
gustar analizar sistema encontrar manera mejorarlo,INDUSTRIAL,0
interesar ética profesional ámbito contable,CONTADURÍA,4
gustar estudiar estilo arquitectónico,ARQUITECTURA,6
gustar geometría diseño técnico participo concurso modelo querer innovar material método construcción,CIVIL,9
telecomunicación importante progreso mundial,TELECOMUNICACIONES,16
querer trabajar documental mostrar realidad oculto,COMUNICACIÓN SOCIAL,3
gustar mantener orden,CONTADURÍA,4
querer entender resolver problema social,SOCIOLOGÍA,1
querer cultura influir comportamiento humano,SOCIOLOGÍA,1
industria rentable,INDUSTRIAL,0
analico concepto ética moralidad entender fundamento comportamiento humano sociedad,FILOSOFÍA,13
norma internacional facilitar comercio justo,DERECHO,11
proceso diseño tiempo libre cosa eficiente participo concurso innovación encantar robótica automatización querer trabajar fábrica inteligente,INDUSTRIAL,0
investigar aplicación ley laboral garantizar condición justo ámbito profesional,DERECHO,11
interesar funcionar cadena producción,INDUSTRIAL,0
querer defender derecho fundamental,DERECHO,11
estudio desarrollo explorar impacto globalización tic cohesión social,SOCIOLOGÍA,1
sueño enseñar literatura compartir pasión,LETRAS,10
interesar tecnología educativo aplicación aula,EDUCACIÓN,14
lenguaje explorar profundidad emoción humano,LETRAS,10
elaborar modelo financiero análisis riesgo proyección económico,CONTADURÍA,4
investigar protocolo avanzado mejorar latencia rendimiento red,TELECOMUNICACIONES,16
literatura curiosidad,LETRAS,10
estudiar semiótica teoría literario descifrar símbolo estructura narrativa,LETRAS,10
interesar liderar proyecto tener impacto social,ADMINISTRACIÓN,7
investigar impacto reforma legal protección derecho minoría,DERECHO,11
apasionar marketing digital creciente hacking usar analytics crm,ADMINISTRACIÓN,7
disfruto trabajar proyecto comunitario,SOCIOLOGÍA,1
interesar evaluación educativo análisis dato,EDUCACIÓN,14
disfruto estudiar psicología social querer trabajar intervención comunitario,PSICOLOGÍA,2
gustar analizar tomar decisión económico,ECONOMÍA,5
querer aprender utilizar recurso eficiente,ADMINISTRACIÓN,7
interesar lingüístico traducción combinar sensibilidad creativo rigor académico interpretar transmitir significado profundo,LETRAS,10
encantar pensar cuestión existencia,FILOSOFÍA,13
disfrutar desarrollo organizacional cultura corporativo trabajo cambio cultural,RELACIONES INDUSTRIALES,12
propiedad intelectual patente fascinante,DERECHO,11
interesado ética aplicado mundo,FILOSOFÍA,13
trabajo manuscrito antiguo apasionar filología,LETRAS,10
querer mente cuerpo conectado,PSICOLOGÍA,2
gustar internet accesible,TELECOMUNICACIONES,16
apasionar desarrollar inteligencia artificial mejorar vida,INFORMÁTICA,15
apasionar tecnología activo metodología transformar experiencia educativo,EDUCACIÓN,14
querer edificio eficiente energéticamente,ARQUITECTURA,6
querer especializar yo derecho internacional ayudar caso humanitario,DERECHO,11
gustar entender proceso decisión,PSICOLOGÍA,2
gustar leer teoría psicológico,PSICOLOGÍA,2
entender participo grupo discusión querer investigar filosofía mente conciencia,FILOSOFÍA,13
encantar optimizar recurso proyecto,INDUSTRIAL,0
disfruto enseñar educación financiero,CONTADURÍA,4
intrigar transmitir señal medio,TELECOMUNICACIONES,16
querer maximizar recurso empresa,INDUSTRIAL,0
interesado verificación hecho periodismo investigación,COMUNICACIÓN SOCIAL,3
querer diseñar hogar mejorar calidad vida persona,ARQUITECTURA,6
integridad financiero promover participación proyecto auditoría forense,CONTADURÍA,4
querer crear campaña sensibilización,COMUNICACIÓN SOCIAL,3
cambio social comenzar comprensión,SOCIOLOGÍA,1
disfrutar investigación género feminismo trabajo teoría interseccional,SOCIOLOGÍA,1
teología contribuir paz mundial,TEOLOGÍA,8
gustar diseñar infraestructura resiliente usar herramienta digital avanzado,CIVIL,9
palabra escrito reflejar complejidad experiencia humano,LETRAS,10
mejorar mundo entender sociedad,SOCIOLOGÍA,1
programa formación profesorado promover innovación método enseñanza,EDUCACIÓN,14
futuro arquitecto encantar explorar idea combinir ciencia arte transformar entorno urbano mejorar calidad vida,ARQUITECTURA,6
interesar mediar trabajador empleador,RELACIONES INDUSTRIALES,12
gustar entender causa crisis financiero,ECONOMÍA,5
gustar desarrollar programa prevención salud mental,PSICOLOGÍA,2
estudiar narrativa visual construcción identidad cultural,COMUNICACIÓN SOCIAL,3
entorno urbano diseñar espacio arquitectónico innovador sostenible,ARQUITECTURA,6
interesado descubrir significado oculto texto,LETRAS,10
querer ayudar gente necesitar,PSICOLOGÍA,2
apasionar ingeniería estructural gustar traducir diseño detallado cálculo preciso bim construir obra duradero,CIVIL,9
interesar edificio resistir terremoto,CIVIL,9
interesar diseño instructivo tecnología educativo,EDUCACIÓN,14
integrar perspectiva clásico moderno enriquecer visión mundo,FILOSOFÍA,13
sentir habilidad motivar,ADMINISTRACIÓN,7
gustar planificar organizar proyecto complejo,INDUSTRIAL,0
interesado justicia social medioambiental querer promover cambio social positivo,SOCIOLOGÍA,1
gustar analizar financiero aplicar política contable mejorar gestión recurso,CONTADURÍA,4
gustar contribuir gestión cambio empresa utilizar estrategia sostenible,ADMINISTRACIÓN,7
apasionar coordinación proyecto evento industrial utilizar metodología ágil herramienta gestión garantizar eficiencia calidad,INDUSTRIAL,0
querer desarrollar solución tecnológico problema social,INFORMÁTICA,15
educación herramienta poderoso cambio,EDUCACIÓN,14
sentir telecomunicación futuro sociedad global,TELECOMUNICACIONES,16
querer mejorar sistema gestión calidad,INDUSTRIAL,0
interesado estudiar transmisión señal digital procesamiento información optimizar calidad conexión red moderno,TELECOMUNICACIONES,16
querer llegar gente,COMUNICACIÓN SOCIAL,3
investigar modelo económico alternativo integrar sostenibilidad equidad,ECONOMÍA,5
querer luchar justicia igualdad,DERECHO,11
gustar aprender importancia ingeniería,CIVIL,9
gustar investigación social cuantitativo análisis estadístico,SOCIOLOGÍA,1
querer mejorar salud mental comunidad,PSICOLOGÍA,2
estudio teoría pedagógico estrategia didáctica fomentar pensamiento crítico creatividad colaboración entorno educativo dinámico,EDUCACIÓN,14
gustar analizar mercado emergente interesado impacto inteligencia artificial economía,ECONOMÍA,5
estudiante telecomunicación interesar ingeniería red transmisión dato explorar tecnología 5 g iot ciberseguridad conectar comunidad forma eficiente,TELECOMUNICACIONES,16
gustar construcción diseño edificio,CIVIL,9
apasionar explorar dimensión espiritual ético existencia estudio texto sagrado,TEOLOGÍA,8
factor cultural económico influir distribución,SOCIOLOGÍA,1
comprometido estudio modelo organizacional liderazgo innovador evaluar historia éxito inspirar cambio dirección corporativo,ADMINISTRACIÓN,7
desarrollo ensayo dualidad razón emoción toma decisión humano,FILOSOFÍA,13
estudiar influencia fe construcción valor cohesión social,TEOLOGÍA,8
gustar análisis dato ciencia dato trabajo python r sql,INFORMÁTICA,15
interesado espiritualidad influir salud mental,TEOLOGÍA,8
intersección ética derecho promover responsabilidad social,DERECHO,11
gustar analizar operación negocio,ADMINISTRACIÓN,7
averiguar prevenir fallo sistema producción,INDUSTRIAL,0
apasionar analizar problema ético tecnología escribir ensayo filosofía contemporáneo interesar filosofía inteligencia artificial querer contribuir debate tecnología sociedad,FILOSOFÍA,13
fascinado derecho penal criminología,DERECHO,11
querer preservar lengua indígena literatura,LETRAS,10
intrigar funcionar red comunicación,TELECOMUNICACIONES,16
empleado satisfecho clave éxito,RELACIONES INDUSTRIALES,12
herramienta digital automatizar trabajo legal,DERECHO,11
gustar macroeconomía política monetario trabajar modelo dsge,ECONOMÍA,5
interesado integrar iot sistema fabricación obtener dato tiempo real,INDUSTRIAL,0
emocionar idea mejorar eficiencia empresa,INDUSTRIAL,0
gustar analizar evolución lengua literatura cultura estudio texto histórico,LETRAS,10
apasionar analizar tomar decisión económico,ECONOMÍA,5
interesar desarrollo sostenible ambiente,ECONOMÍA,5
interesar analizar estructura social proceso cambio forma comunidad,SOCIOLOGÍA,1
disfruto interiorismo psicología espacio trabajo iluminación acústicar,ARQUITECTURA,6
medio comunicación responsabilidad social importante,COMUNICACIÓN SOCIAL,3
inteligencia artificial utilizar mejorar proceso diverso industria,INFORMÁTICA,15
querer innovar tecnología comunicación inalámbrico,TELECOMUNICACIONES,16
disfruto optimizar tiempo actividad diario,INDUSTRIAL,0
apasionar ley tecnológico protección dato,DERECHO,11
gustar estudiar caso legal,DERECHO,11
querer entender problema social resolver él,SOCIOLOGÍA,1
querer contribuir creación entorno laboral saludable estrategia gestión talento bienestar integral,RELACIONES INDUSTRIALES,12
encantar enseñar compartir conocimiento acerca fe,TEOLOGÍA,8
gustar desarrollar material educativo innovador,EDUCACIÓN,14
exploro relación salud ocupacional productividad trabajo buscar solución integral,RELACIONES INDUSTRIALES,12
administración eficiente beneficiar involucrado,ADMINISTRACIÓN,7
gustar explorar corriente pensamiento,FILOSOFÍA,13
gustar crear contenido educa entretener,COMUNICACIÓN SOCIAL,3
interesar derecho internacional implicación,DERECHO,11
gustar abogado diferencia comunidad,DERECHO,11
querer investigar migración efecto,SOCIOLOGÍA,1
motivar informar tema afectar comunidad,COMUNICACIÓN SOCIAL,3
querer implementar política promover equidad inclusión,RELACIONES INDUSTRIALES,12
interesar gestión calidad mejora continuo,INDUSTRIAL,0
interesar ética aplicado mundo actual,FILOSOFÍA,13
interesar seguridad red ethical hacking wireshark herramienta análisis,TELECOMUNICACIONES,16
querer estudio corriente,FILOSOFÍA,13
estudiar mecanismo mediación política inclusión fortalecer trabajo equipo,RELACIONES INDUSTRIALES,12
gustar desarrollar aplicación móvil innovadora,INFORMÁTICA,15
decisión económico responsable,ECONOMÍA,5
letra importante historia,LETRAS,10
gustar aplicar ley vida cotidiano,DERECHO,11
fascina enviar información mundo segundo,TELECOMUNICACIONES,16
disfruto aprender ingeniería hidráulico importancia,CIVIL,9
investigar origen transformación lenguaje cultura destacar papel identidad personal,LETRAS,10
querer estructura resistente desastre,CIVIL,9
interesar evaluación educativo análisis dato analytics educativo,EDUCACIÓN,14
participé proyecto educativo inclusivo adaptar recurso diverso necesidad estudiante,EDUCACIÓN,14
gustar analizar papel medio comunicación formación opinión público identidad cultural,COMUNICACIÓN SOCIAL,3
intersección política económico desarrollo social,ECONOMÍA,5
gustar escribir pensamiento compartir él,FILOSOFÍA,13
interesar lingüístico traducción combinar sensibilidad creativo rigor académico interpretar transmitir significado profundo,LETRAS,10
gustar animar,ADMINISTRACIÓN,7
apasionar liturgia arte sacro trabajo historia arte,TEOLOGÍA,8
cambio positivo generar utilizar medio,COMUNICACIÓN SOCIAL,3
apasionar coordinar proyecto evento industrial utilizar metodología ágil herramienta gestión asegurar eficiencia calidad,INDUSTRIAL,0
inteligencia artificial utilizar automatizar tarea contable auditoría financiero,CONTADURÍA,4
querer crear edificio funcional estéticamente agradable,ARQUITECTURA,6
gustar trabajar modelo,CIVIL,9
investigo factor cultural económico influir distribución sociedad,SOCIOLOGÍA,1
interesado utilizar modelo matemático análisis estadístico entender funcionamiento mercado,ECONOMÍA,5
proyecto mejora calidad aplicar él metodología sigma,INDUSTRIAL,0
disfruto derecho ambiental recurso natural trabajar legislación internacional,DERECHO,11
disfrutar analizar estructura estilo texto,LETRAS,10
querer mejorar producción empresa,INDUSTRIAL,0
apasionar diseño estructura antisísmica participo competencia puente palito interesar construcción sostenible energía renovable querer diseñar edificio autosustentabl,CIVIL,9
gustar diseñar estructura seguro sostenible,CIVIL,9
trabajo ética digital querer explorar filosofía tecnología,FILOSOFÍA,13
fascinar derecho ambiental trabajo caso justicia climático interesar derecho energía renovable querer proteger ambiente,DERECHO,11
telecomunicación vital progreso mundial,TELECOMUNICACIONES,16
fascinado gestión cambio desarrollo organizacional metodología cambio,ADMINISTRACIÓN,7
interesar derecho comparado comprender abordar problema similar sistema jurídico,DERECHO,11
interesar existencialismo filosofía libertad explorar esencia decisión humano,FILOSOFÍA,13
trabajo contenido marca narrativa transmedia,COMUNICACIÓN SOCIAL,3
querer diseño espacio público beneficie comunidad,CIVIL,9
motivar comunicar noticia impulsar cambio,COMUNICACIÓN SOCIAL,3
proponer reforma legal mejorar acceso justicia caso justicia social protección derecho,DERECHO,11
encantar analizar financiero toma decisión estratégico,CONTADURÍA,4
querer empezar empresa,ADMINISTRACIÓN,7
querer resolver problema social,SOCIOLOGÍA,1
diseño espacio urbano integrar arte naturaleza tecnología comunidad moderno,ARQUITECTURA,6
desarrollo solución software optimizar proceso empresarial integrar concepto devops microservicio,INFORMÁTICA,15
desarrollar reflexión espiritualidad contemporáneo desafío moderno,TEOLOGÍA,8
querer contribuir gestión cambio empresa implementación metodología ágil estrategia sostenible,ADMINISTRACIÓN,7
querer gente alcanzar meta,RELACIONES INDUSTRIALES,12
relación diseño función edificio interesar,ARQUITECTURA,6
exploro intersección red social opinión público entender tendencia emergente,COMUNICACIÓN SOCIAL,3
convergencia red fijo móvil centrado,TELECOMUNICACIONES,16
estudio teoría pedagógico moderno aplicar método colaborativo experiencial aula,EDUCACIÓN,14
investigar mejorar comunicación colaboración equipo trabajo,RELACIONES INDUSTRIALES,12
historia fe cultura conformado símbolo ritual,TEOLOGÍA,8
querer aprender escritura mensaje,TEOLOGÍA,8
interesado neuroeducación ciencia influir práctica enseñanza eficaz,EDUCACIÓN,14
elaborar modelo financiero análisis riesgo proyección económico,CONTADURÍA,4
querer analizar cambio tecnológico económico cambiar patrón comportamiento sociedad,SOCIOLOGÍA,1
investigar tecnología educativo crear entorno aprendizaje virtual innovador,EDUCACIÓN,14
estudiante relación industrial investigo mecanismo mediación política inclusión fortalecer trabajo equipo cohesión interno,RELACIONES INDUSTRIALES,12
gustar escribir ensayo compartir idea,LETRAS,10
trabajo protocolo mejorar rendimiento red,TELECOMUNICACIONES,16
disfrutar analizar report financiero estudio mercado valor interesar contabilidad ambiental social querer promover transparencia financiero,CONTADURÍA,4
querer mejorar satisfacción laboral,RELACIONES INDUSTRIALES,12
estudiar influencia infancia configuración personalidad relación emocional,PSICOLOGÍA,2
querer luchar justicia,DERECHO,11
interesar arte sagrado liturgia,TEOLOGÍA,8
interesar diseño bioclimático eficiencia energético,ARQUITECTURA,6
interesar innovación empresarial emprendimiento,ADMINISTRACIÓN,7
apasionar sociología ambiental sostenibilidad trabajo indicador social,SOCIOLOGÍA,1
gustar maximizar recurso,INDUSTRIAL,0
apasionar innovación proceso productivo,INDUSTRIAL,0
centrar mejora continuo proceso industrial,INDUSTRIAL,0
querer investigar problema social solución,SOCIOLOGÍA,1
querer contribuir reformar sistema legal injusto,DERECHO,11
querer decisión económico afectar gente,ECONOMÍA,5
espacio influir emoción,ARQUITECTURA,6
desarrollo metodologíos innovadora evaluar impacto emoción rendimiento académico profesional,PSICOLOGÍA,2
disfrutar analizar dato crear algoritmos participé competencia programación fascinar machine learning ciencia dato querer desarrollar sistema inteligente,INFORMÁTICA,15
interesar diseño espacio público beneficien comunidad,CIVIL,9
interesar diseño espacio público beneficien comunidad,CIVIL,9
educación,EDUCACIÓN,14
llegar gente querer trabajar radio,COMUNICACIÓN SOCIAL,3
gustar trabajar metodología activo,EDUCACIÓN,14
creatividad colaboración pensamiento crítico fomentar teoría estrategia estudiar,EDUCACIÓN,14
entender sociedad esencial progreso,SOCIOLOGÍA,1
gustar analizar caso éxito empresarial aprender transformación digital,ADMINISTRACIÓN,7
desarrollar estrategia comunicación interno programa entrenamiento interesar,RELACIONES INDUSTRIALES,12
estudiar relación organización institución entender estructura social,SOCIOLOGÍA,1
explorar relación salud ocupacional productividad trabajo buscar solución integral,RELACIONES INDUSTRIALES,12
querer entender significado existencia,FILOSOFÍA,13
pequeño soñar diseñar estructura innovadora seguro utilizar herramienta digital autocad civil revit proyecto sostenible,CIVIL,9
filosofía ayudar entender lugar mundo,FILOSOFÍA,13
solución justo conflicto laboral hacer él negociación mediación,RELACIONES INDUSTRIALES,12
fascinar análisis estructural diseño edificio sosteniblesutilice etabs sap2000,CIVIL,9
factor social emocional afectar comportamiento manera,PSICOLOGÍA,2
gustar diseñar puente innovador,CIVIL,9
interesado aprender utilizar metodología activo enfoque inclusivo inspirar compañero,EDUCACIÓN,14
estudiar convergencia tecnología comunicación aplicación mundo digital,TELECOMUNICACIONES,16
ayudo colega estudio participo programa educativo interesado educación inclusivo tecnológico querer crear programa educativo innovador,EDUCACIÓN,14
interesado investigación diverso cultura comunidad,SOCIOLOGÍA,1
sentir curiosidad optimizar recurso empresa,INDUSTRIAL,0
desarrollo contenido audiovisual buscar informar empoderar comunidad marginado,COMUNICACIÓN SOCIAL,3
apasionar transformación digital contabilidad trabajo automatización,CONTADURÍA,4
dibujo diseño espacio edificio,ARQUITECTURA,6
gustar encuesta analizar resultado,SOCIOLOGÍA,1
